CITY,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,YEAR BUILT,PRICE/SQFT
Boston,857157.0,4.0,2.0,West Roxbury,2364.0,1910.0,363.0
Boston,1895000.0,2.0,2.0,Back Bay,1480.0,2004.0,1280.0
Boston,990000.0,6.0,3.0,Hyde Park,3716.0,1899.0,266.0
Boston,922500.0,3.0,2.0,West Roxbury,1853.0,2022.0,498.0
Boston,855000.0,3.0,2.0,East Boston's Orient Heights,1384.0,2022.0,618.0
Boston,1070000.0,6.0,3.0,West Roxbury,2928.0,1920.0,365.0
Boston,670000.0,2.0,2.0,East Boston's Orient Heights,1069.0,2022.0,627.0
Boston,589000.0,2.0,2.0,Dorchester,909.0,2022.0,648.0
Boston,655000.0,7.0,3.0,Dorchester,3346.0,1900.0,196.0
Boston,719000.0,2.0,2.0,East Boston's Jeffries Point,943.0,2022.0,762.0
Boston,800000.0,2.0,2.0,East Boston's Jeffries Point,1090.0,2022.0,734.0
Brookline,1450000.0,3.0,2.0,Brookline,1595.0,1900.0,909.0
Boston,915000.0,3.0,2.0,West Roxbury,1853.0,2022.0,494.0
Boston,1298000.0,1.0,1.0,South End,841.0,2021.0,1543.0
Boston,830000.0,2.0,2.0,East Boston,1070.0,2022.0,776.0
Boston,924000.0,3.0,2.0,West Roxbury,1867.0,2022.0,495.0
Boston,824558.0,2.0,2.0,East Boston's Jeffries Point,1090.0,2022.0,756.0
Boston,750000.0,3.0,2.0,Boston,1964.0,1958.0,382.0
Boston,1199000.0,3.0,2.0,East Boston,1325.0,2022.0,905.0
Boston,475000.0,2.0,1.0,Hyde Park,1032.0,1960.0,460.0
Boston,924000.0,3.0,2.0,West Roxbury,1868.0,2022.0,495.0
Boston,4250000.0,2.0,2.0,Waterfront,1641.0,1987.0,2590.0
Boston,2750000.0,2.0,2.0,Beacon Hill,2077.0,1930.0,1324.0
Boston,1600000.0,5.0,2.0,South Boston,2611.0,1900.0,613.0
Boston,949000.0,6.0,3.0,Boston,3181.0,1910.0,298.0
Boston,1000000.0,4.0,2.0,West Roxbury,2360.0,2016.0,424.0
Boston,754900.0,1.0,1.0,Brighton,675.0,2022.0,1118.0
Boston,605000.0,4.0,1.0,Dorchester,1947.0,1930.0,311.0
Boston,725000.0,4.0,2.0,Roslindale,2944.0,1920.0,246.0
Boston,2010000.0,4.0,4.0,South End,2397.0,1890.0,839.0
Boston,1037400.0,1.0,1.0,Brighton,1077.0,2022.0,963.0
Brookline,1000000.0,4.0,2.0,Brookline,1719.0,1900.0,582.0
Boston,550000.0,2.0,1.0,East Boston's Jeffries Point,812.0,1905.0,677.0
Boston,600000.0,3.0,1.0,Hyde Park,1557.0,1955.0,385.0
Boston,1275500.0,3.0,1.0,Dorchester's Ashmont,2964.0,1894.0,430.0
Boston,920000.0,3.0,2.0,West Roxbury,1909.0,2022.0,482.0
Boston,865000.0,2.0,2.0,East Boston's Jeffries Point,1184.0,2022.0,731.0
Boston,575000.0,1.0,1.0,Theatre District,455.0,2022.0,1264.0
Boston,359641.0,3.0,1.0,South Boston,1116.0,2004.0,322.0
Boston,605000.0,2.0,2.0,Dorchester's Ashmont,1112.0,2022.0,544.0
Boston,735000.0,1.0,1.0,Theatre District,511.0,2022.0,1438.0
Boston,917851.0,4.0,1.0,Moss Hill,1500.0,1927.0,612.0
Boston,972000.0,3.0,1.0,Moss Hill,1610.0,1925.0,604.0
Boston,765000.0,2.0,2.0,East Boston's Orient Heights,1153.0,2022.0,663.0
Boston,515000.0,2.0,1.0,Boston,862.0,1900.0,597.0
Boston,955000.0,2.0,1.0,The Fenway,1140.0,1890.0,838.0
Boston,1500000.0,3.0,2.0,Jamaica Plain,2587.0,1955.0,580.0
Boston,370000.0,2.0,1.0,Dorchester,628.0,1960.0,589.0
Boston,434532.0,2.0,1.0,South End,1149.0,2000.0,378.0
Boston,244307.0,3.0,1.0,Boston,1644.0,2008.0,149.0
Boston,300000.0,1.0,1.0,Roxbury's Fort Hill,462.0,1900.0,649.0
Boston,899000.0,3.0,2.0,West Roxbury,1908.0,2022.0,471.0
Boston,925000.0,3.0,2.0,West Roxbury,1891.0,2022.0,489.0
Boston,505000.0,3.0,1.0,Neponset/Pope's Hill,1861.0,1880.0,271.0
Boston,614000.0,1.0,1.0,East Boston,690.0,2022.0,890.0
Boston,300000.0,1.0,1.0,West Roxbury's Chestnut Hill,625.0,1955.0,480.0
Boston,369000.0,2.0,1.0,Dorchester's Ashmont,797.0,1910.0,463.0
Boston,850000.0,5.0,3.0,Dorchester's Neponset,2185.0,1905.0,389.0
Boston,530000.0,1.0,1.0,East Boston,650.0,2022.0,815.0
Boston,839000.0,0.0,1.0,Seaport District,495.0,2020.0,1695.0
Boston,324000.0,1.0,1.0,West Roxbury,605.0,1969.0,536.0
Boston,505000.0,1.0,1.0,Jamaica Plain,835.0,1926.0,605.0
Boston,1120000.0,9.0,3.0,Dorchester,3270.0,1905.0,343.0
Boston,875000.0,4.0,2.0,Roslindale,2864.0,1930.0,306.0
Boston,775000.0,4.0,1.0,West Roxbury,1758.0,1920.0,441.0
Boston,790000.0,7.0,3.0,Boston,3966.0,1905.0,199.0
Boston,375000.0,2.0,1.0,Dorchester,686.0,1965.0,547.0
Boston,575000.0,1.0,1.0,Waterfront,881.0,1972.0,653.0
Boston,875000.0,2.0,2.0,Roslindale,1249.0,2022.0,701.0
Boston,699900.0,1.0,1.0,Brighton,722.0,2022.0,969.0
